YEAR,MONTH,BARANGAY_ID,Predicted_Cases,Predicted_Risk
2025,9,39,5.4,Medium
2025,10,39,5.4,Medium
2025,11,39,5.09,Medium
2025,12,39,4.63,Medium
2026,1,39,4.65,Medium
2026,2,39,5.11,Medium
2026,3,39,6.0,Medium
2026,4,39,6.0,Medium
2026,5,39,6.0,Medium
2025,1,40,0.74,Low
2025,2,40,1.69,Low
2025,3,40,2.6,Low
2025,4,40,3.08,Low
2025,5,40,2.83,Low
2025,6,40,2.65,Low
2025,7,40,2.95,Low
2025,8,40,3.15,Low
2025,9,40,3.81,Low
2025,10,40,3.51,Medium
2025,11,40,3.51,Low
2025,12,40,3.52,Low
2026,1,40,3.57,Low
2026,2,40,3.6,Low
2026,3,40,3.58,Low
2026,4,40,3.53,Low
2026,5,40,3.74,Low
2025,1,41,0.0,Low
2025,2,41,0.95,Low
2025,3,41,7.0,Low
2025,4,41,7.0,Medium
2025,5,41,5.74,Medium
2025,6,41,5.65,Medium
2025,7,41,6.44,Medium
2025,8,41,7.0,Medium
2025,9,41,7.0,Medium
2025,10,41,7.0,Medium
2025,11,41,6.88,Medium
2025,12,41,6.34,Medium
2026,1,41,6.64,Medium
2026,2,41,7.0,Medium
2026,3,41,7.0,Medium
2026,4,41,6.83,Medium
2026,5,41,7.0,Medium
2025,1,42,3.55,Medium
2025,2,42,3.66,Low
2025,3,42,3.97,Low
2025,4,42,4.95,Medium
2025,5,42,5.26,Medium
2025,6,42,6.77,Medium
2025,7,42,8.0,Medium
2025,8,42,8.0,High
2025,9,42,8.0,High
2025,10,42,8.0,High
2025,11,42,7.78,High
2025,12,42,7.23,Medium
2026,1,42,7.29,Medium
2026,2,42,7.31,Medium
2026,3,42,6.7,Medium
2026,4,42,6.39,Medium
2026,5,42,8.0,Medium
2025,1,43,0.26,Low
2025,2,43,1.71,Low
2025,3,43,3.0,Low
2025,4,43,3.0,Low
2025,5,43,2.32,Low
2025,6,43,2.36,Low
2025,7,43,2.41,Low
2025,8,43,2.4,Low
2025,9,43,2.34,Low
2025,10,43,2.33,Low
